paper_id,title
64-DEMO,Infherno: End-to-end Agent-based FHIR Resource Synthesis from Free-form Clinical Notes
95-DEMO,Integrity Shield A System for Ethical AI Use & Authorship Transparency in Assessments
100-DEMO,AITutor-EvalKit: Exploring the Capabilities of AI Tutors
56-DEMO,FiMMIA: scaling semantic perturbation-based membership inference across modalities
71-DEMO,"Similar, but why? An Explainability Toolkit for Text Similarity"
78-DEMO,PromptLab: A Collaborative Platform for Prompt Engineering and Dataset Curation
87-IND,When Speed Meets Intelligence: Scalable Conversational NER in an Ever-evolving World
97-IND,CASPER: Bridging Discrete and Continuous Prompt Optimization through Feedback-Guided Gradient Descent
112-IND,Lessons from the Field: An Adaptable Lifecycle Approach to Applied Dialogue Summarization
59-IND,TASER: Table Agents for Schema-guided Extraction and Recommendation
413-MAIN,How DDAIR you? Disambiguated Data Augmentation for Intent Recognition
815-MAIN,ConvApparel: A Benchmark Dataset and Validation Framework for User Simulators in Conversational Recommenders
942-MAIN,How Do Language Models Acquire Character-Level Information?
52-IND,Retrieval Enhancements for RAG: Insights from a Deployed Customer Support Chatbot
80-IND,A Compliance-Preserving Retrieval System for Aircraft MRO Task Search
91-IND,ReflectiveRAG: Rethinking Adaptivity in Retrieval-Augmented Generation
155-IND,D3: Dynamic Docid Decoding for Multi-Intent Generative Retrieval
185-IND,DIRECT: Directional Relevance in Conversational Trajectories
377-MAIN,Specialization through Collaboration: Understanding Expert Interaction in Mixture-of-Expert Large Language Models
527-MAIN,AudioSAE: Towards Understanding of Audio-Processing Models with Sparse AutoEncoders
538-MAIN,Finding Culture-Sensitive Neurons in Vision-Language Models
1153-MAIN,Evidential Semantic Entropy for LLM Uncertainty Quantification
1299-MAIN,Efficient Uncertainty Quantification of Language Models through Token Clustering
15-MAIN,Teams of LLM Agents can Exploit Zero-Day Vulnerabilities
320-MAIN,"Barriers to Discrete Reasoning with Transformers: A Survey Across Depth, Exactness, and Bandwidth"
818-MAIN,"Persistent Personas? Role-Playing, Instruction Following, and Safety in Extended Interactions"
1123-MAIN,Safeguarding Language Models via Self-Destruct Trapdoor
1285-MAIN,{AnonGuard}: A Culturally-Aware Moderation Filter for Arabic Language Models
106-DEMO,AI for Climate Finance: Agentic Retrieval and Multi-Step Reasoning for Early Warning System Investments
110-DEMO,SmartMatch: Real-Time Semantic Retrieval for Translation Memory Systems
115-DEMO,A Virtual Assistant for Architectural Design in a VR Environment
50-DEMO,Simplifying Outcomes of Language Model Component Analyses with ELIA
98-DEMO,Using a Human-AI Teaming Approach to Create and Curate Scientific Dataset with the SCILIRE System
116-DEMO,ARGSBASE: A Multi-Agent Interface for Structured Human–AI Deliberation
118-DEMO,Simultaneous Speech-to-Text Translation Web Application for Estonian
123-DEMO,entity-linkings: A Unified Library for Entity Linking
125-DEMO,BanSuite: A Unified Toolkit and Software Platform for Low-Resource NLP in Bangla
131-MAIN,A Survey on Multilingual Mental Disorders Detection from Social Media Data
243-MAIN,CRADLE Bench: A Clinician-Annotated Benchmark for Multi-Faceted Mental Health Crisis and Safety Risk Detection
435-MAIN,ReMedQA: Are We Done With Medical Multiple-Choice Benchmarks?
600-MAIN,When Can We Trust LLMs in Mental Health? Large-Scale Benchmarks for Reliable LLM Evaluation
683-MAIN,RAGPPI: Retrieval-Augmented Generation Benchmark for ProteinвЂ“Protein Interactions in Drug Discovery
138-MAIN,CrossThink: Scaling Self-Learning beyond Math Reasoning
1164-MAIN,Agent-Testing Agent: A Meta-Agent for Automated Testing and Evaluation of Conversational AI Agents
1258-MAIN,H-Mem: Hybrid Multi-Dimensional Memory Management for Long-Context Conversational Agents
263-MAIN,Adaptive Helpfulness: Harmlessness Alignment with Preference Vectors
787-MAIN,Evaluating the Effect of Retrieval Augmentation on Social Biases
1098-MAIN,"Emotionally Charged, Logically Blurred: AI-driven Emotional Framing Impairs Human Fallacy Detection"
1312-MAIN,Engagement Undermines Safety: How Stereotypes and Toxicity Shape Humor in Language Models
1314-MAIN,Are All Prompt Components Value-Neutral? Understanding the Heterogeneous Adversarial Robustness of Dissected Prompt in LLMs
486-MAIN,Safe-Unsafe Concept Separation Emerges from a Single Direction in Language Models Activation Space
760-MAIN,Calibrating Beyond English: Language Diversity for Better Quantized Multilingual LLMs
763-MAIN,LaCoMSA: Language-Consistency Multilingual Self-Alignment with Latent Representation Rewarding
89-MAIN,Automated Screening of Antibacterial Nanoparticle Literature: Dataset Curation and Model Evaluation
384-MAIN,"Mind the Gap: Benchmarking LLM Uncertainty, Discrimination, and Calibration in Specialty-Aware Clinical QA"
400-MAIN,Disentangling Knowledge and Reasoning in Biomedical QA Benchmarks
786-MAIN,Evaluation and LLM-Guided Learning of ICD Coding Rationales
1395-MAIN,What Does Infect Mean to Cardio? Investigating the Role of Clinical Specialty Data in Medical LLMs
197-MAIN,Improving German-language LLM pre-training with model-based data curation and synthetic data generation
367-MAIN,Computational Benchmarks for Egyptian Arabic Child Directed Speech
498-MAIN,LAILA: A Large Trait-Based Dataset for Arabic Automated Essay Scoring
966-MAIN,Machine translation Evaluation Eng-Thai MQM Ranking dataset
992-MAIN,"Nahw: A Comprehensive Benchmark of Arabic Grammar Understanding, Error Detection, Correction, and Explanation"
8231-TACL,Aligned Probing: Relating Toxic Behavior and Model Internals
9193-TACL,Automatic Reviewers Fail to Detect Faulty Reasoning in Research Papers: A New Counterfactual Evaluation Framework
53-MAIN,SCoPE VLM: Selective Context Processing for Efficient Document Navigation in Vision-Language Models
70-MAIN,Understanding Jailbreak Success: A Study of Latent Space Dynamics in Large Language Models
96-MAIN,Tailored Emotional LLM-Supporter: Enhancing Cultural Sensitivity
188-MAIN,Uncovering Hidden Correctness in LLM Causal Reasoning via Symbolic Verification
352-MAIN,Enhancing Auto-regressive Chain-of-Thought through Loop-Aligned Reasoning
441-MAIN,Can activation steering support language-agnostic reasoning in language models? A study on syllogistic inferences
859-MAIN,Pseudo-Likelihood Training for Reasoning Diffusion Language Models
85-MAIN,"If Probable, Then Acceptable? Understanding Conditional Acceptability Judgments in Large Language Models"
92-MAIN,"Analogical Structure, Minimal Contextual Cues and Contrastive Distractors: Input Design for Sample-Efficient Linguistic Rule Induction"
446-MAIN,Morpheme Matters: Morpheme-Based Subword Tokenization for Korean Language Models
752-MAIN,Cross-lingual and Word-Independent Methods for Quantifying Degree of Grammaticalization
98-MAIN,Leveraging LLM-GNN Integration for Open-World Question Answering over Knowledge Graphs
526-MAIN,Helios: A Foundational Language Model for Smart Energy Knowledge Reasoning and Application
1019-MAIN,KG-CRAFT: Knowledge Graph-based Contrastive Reasoning with LLMs for Enhancing Automated Fact-checking
1212-MAIN,NG-Router: Graph-Supervised Multi-Agent Collaboration for Nutrition Question Answering
1324-MAIN,COMPACT: Building Compliance Paralegals via Clause Graph Reasoning over Contracts
969-MAIN,Continual-learning for Modelling Low-Resource Languages from Large Language Models
1053-MAIN,Post-ASR Correction in Hindi: Comparing Language Models and Large Language Models in Low-Resource Scenarios
3081-CL,Training and Evaluating with Human Label Variation: An Empirical Study
37-MAIN,Can Reasoning Help Large Language Models Capture Human Annotator Disagreement?
1195-MAIN,GRAVITY: A Framework for Personalized Text Generation via Profile-Grounded Synthetic Preferences
1378-MAIN,Tandem Training for Language Models
3052-CL,How Can We Effectively Expand the Vocabulary of LLMs with 0.01GB of Target Language Text?
114-MAIN,BigTokDetect: A ClinicallyвЂ‘Informed VisionвЂ“Language Model Framework for Detecting ProвЂ‘Bigorexia Videos on TikTok
132-MAIN,Identifying Fine-grained Forms of Populism in Political Discourse: A Case Study on Donald Trump's Presidential Campaigns
195-MAIN,CORE: Measuring Multi-Agent LLM Interaction Quality under Game-Theoretic Pressures
135-MAIN,A Benchmark for Audio Reasoning Capabilities of Multimodal Large Language Models
199-MAIN,Ultra-Low-Dimensional Prompt Tuning via Random Projection
215-MAIN,Lost in Activations: A Neuron-level Analysis of Encoders for Cross-Lingual Emotion Detection
337-MAIN,Multimodal Evaluation of Russian-language Architectures
622-MAIN,TempViz: On the Evaluation of Temporal Knowledge in Text-to-Image Models
717-MAIN,$\infty$-MoE: Generalizing Mixture of Experts to Infinite Experts
718-MAIN,Beyond Tokens: Concept-Level Training Objectives for LLMs
772-MAIN,Bringing Emerging Architectures to Sequence Labeling in NLP
784-MAIN,CASE вЂ“ Condition-Aware Sentence Embeddings for Conditional Semantic Textual Similarity Measurement
793-MAIN,Decomposition-Enhanced Training for Post-Hoc Attributions in Language Models
819-MAIN,CliniBench: A Clinical Outcome Prediction Benchmark for Generative and Encoder-Based Language Models
900-MAIN,KidsArtBench: Multi-Dimensional ChildrenвЂ™s Art Evaluation with Attribute-Aware MLLMs
954-MAIN,Nanda Family: Open-Weights Generative Large Language Models for Hindi
1194-MAIN,JointCal: Efficient and Effective Domain-adapted Compression
1222-MAIN,Active Generalized Category Discovery with Diverse LLM Feedback
120-MAIN,OD-Stega: LLM-Based Relatively Secure Steganography via Optimized Distributions
141-MAIN,"Cetvel: A Unified Benchmark for Evaluating Language Understanding, Generation and Cultural Capacity of LLMs for Turkish"
323-MAIN,Exploring Speaker Anonymization Methods for Low-Resource Text-to-Speech
368-MAIN,K-LegalDeID: A Benchmark Dataset and KLUEBERT-CRF for De-identification in Korean Court Judgments
484-MAIN,Coupling Local Context and Global Semantic Prototypes via a Hierarchical Architecture for Rhetorical Roles Labeling
565-MAIN,TRACE: A Framework for Analyzing and Enhancing Stepwise Reasoning in Vision-Language Models
575-MAIN,AfriMTEB and AfriE5: Benchmarking and Adapting Text Embedding Models for African Languages
582-MAIN,Better Generalizing to Unseen Concepts: An Evaluation Framework and An LLM-Based Auto-Labeled Pipeline for Biomedical Concept Recognition
634-MAIN,"Out of Distribution, Out of Luck: Process Rewards Misguide Reasoning Models"
656-MAIN,Measuring Mechanistic Independence: Can Bias Be Removed Without Erasing Demographics?
802-MAIN,Investigating Language and Retrieval Bias in Multilingual Previously Fact-Checked Claim Detection
808-MAIN,MEVER: Multi-Modal and Explainable Claim Verification with Graph-based Evidence Retrieval
259-MAIN,StarFlow: Generating Structured Workflow Outputs From Sketch Images
386-MAIN,Controlling Reading Ease with Gaze-Guided Text Generation
529-MAIN,Vision-Language Models Align with Human Neural Representations in Concept Processing
534-MAIN,Personality Editing for Language Models through Adjusting Self-Referential Queries
561-MAIN,"Too Many Frames, Not All Useful: Efficient Strategies for Long-Form Video QA"
588-MAIN,STREAM-ZH: Simplified Topic Retrieval Exploration and Analysis Module for Chinese Language
595-MAIN,Is Information Density Uniform when Utterances are Grounded on Perception and Discourse?
729-MAIN,BLEnD-Vis: Benchmarking Multimodal Cultural Understanding in Vision Language Models
1322-MAIN,Teaching Small Language Models to Learn Logic through Meta-Learning
65-FIND,Rad-Flamingo: A Multimodal Prompt driven Radiology Report Generation Framework with Patient-Centric Explanations
109-FIND,JEEM: Vision-Language Understanding in Four Arabic Dialects
113-FIND,Detecting Primary Progressive Aphasia (PPA) from Text: A Benchmarking Study
220-FIND,Harmful Factuality: LLMs Correcting What They Shouldn't
249-FIND,Scaling Data-Constrained Language Models with Synthetic Data
251-FIND,The Unintended Trade-off of AI Alignment: Balancing Hallucination Mitigation and Safety in LLMs
309-FIND,"One Sentence, Two Embeddings: Contrastive Learning of Explicit and Implicit Semantic Representations"
319-FIND,Unsupervised Detection of LLM-Generated Text in Korean Using Syntactic and Semantic Cues
348-FIND,TELLME: Test-Enhanced Learning for Language Model Enrichment
388-FIND,From Semantics to Style: A Cross-Dataset Comparative Framework for Sentence Similarity Predictions
403-FIND,"Actors, Frames and Arguments: A Multi-Decade Computational Analysis of Climate Discourse in Financial News using Large Language Models"
512-FIND,Can LLMs Reason Like Doctors? Exploring the Limits of Large Language Models in Complex Medical Reasoning
539-FIND,Binary Token-Level Classification with DeBERTa for All-Type MWE Identification: A Lightweight Approach with Linguistic Enhancement
601-FIND,Dimension-First Evaluation of Voice Assistants: Human Chain-of-Thought and Structured Judges
828-MAIN,DIVINE : Coordinating Multimodal Disentangled Representations for Oro-Facial Neurological Disorder Assessment
860-MAIN,RoSE: Round-robin Synthetic Data Evaluation for Selecting LLM Generators without Human Test Sets
981-MAIN,Evaluation of Deontic Conditional Reasoning in Large Language Models: The Case of Wason's Selection Task
1166-MAIN,User-Centric Evidence Ranking for Attribution and Fact Verification
107-FIND,The Mediomatix Corpus: Parallel Data for Romansh Idioms via Comparable Schoolbooks
126-FIND,Do Diacritics Matter? Evaluating the Impact of Arabic Diacritics on Tokenization and LLM Benchmarks
148-FIND,ART: Adaptive Reasoning Trees for Explainable Claim Verification
162-FIND,HiKE: Hierarchical Evaluation Framework for Korean-English Code-Switching Speech Recognition
191-FIND,Shifting Perspectives: Steering Vectors for Robust Bias Mitigation in LLMs
214-FIND,Personal Information Parroting in Language Models
240-FIND,ATOM: AdapTive and OptiMized dynamic temporal knowledge graph construction using LLMs
244-FIND,On the Interplay between Human Label Variation and Model Fairness
246-FIND,Where do LLMs currently stand on biomedical NER in both clean and noisy settings ?
252-FIND,The ModelвЂ™s Language Matters: A Comparative Privacy Analysis of LLMs
267-FIND,LLMs Faithfully and Iteratively Compute Answers During CoT: A Systematic Analysis With Multi-hop Arithmetics
734-MAIN,Steering Large Language Models for Machine Translation Personalization
630-FIND,XMAD-Bench: Cross-Domain Multilingual Audio Deepfake Benchmark
645-FIND,PagedEviction: Structured Block-wise KV Cache Pruning for Efficient Large Language Model Inference
674-FIND,Diffusion Language Model Inference with Monte Carlo Tree Search
689-FIND,LitE-SQL: A Lightweight and Efficient Text-to-SQL Framework with Vector-based Schema Linking and Execution-Guided Self-Correction
780-FIND,ReciFine: Finely Annotated Recipe Dataset for Controllable Recipe Generation
806-FIND,Demystifying Mixed Outcomes of Self-Training: Pre-training Analyses on Non-Toy LLMs
869-FIND,HARM: Learning Hate-Aware Reward Model for Evaluating Natural Language Explanations of Offensive Content
927-FIND,Crafting Adversarial Inputs for Large Vision-Language Models Using Black-Box Optimization
1033-FIND,Argument Component Segmentation with Fine-Tuned Large Language Models
1038-FIND,"The Art of Saying ""Maybe"": A Conformal Lens for Uncertainty Benchmarking in VLMs"
1039-FIND,Diagnosis of Dysarthria Severity and Explanation Generation Using XAI-Enhanced CLINIC-GENIE on Diadochokinetic Tasks
1080-FIND,Ranking Human and LLM Texts Using Locality Statistics
795-MAIN,Persuasion Tokens for Editing Factual Knowledge in LLMs
1142-FIND,FactSelfCheck: Fact-Level Black-Box Hallucination Detection for LLMs
298-FIND,Don’t Judge Code by Its Cover: Exploring Biases in LLM Judges for Code Evaluation
811-MAIN,DuwatBench: Bridging Language and Visual Heritage through an Arabic Calligraphy Benchmark for Multimodal Understanding
1187-FIND,Beyond a Single Extractor: Re-thinking HTML-to-Text Extraction for LLM Pre-training
1193-FIND,Human-Aligned Faithfulness in Toxicity Explanations of LLMs
334-FIND,NLP Privacy Risk Identification in Social Media (NLP-PRISM): A Survey
885-MAIN,ExStrucTiny: A Benchmark for Schema-Variable Structured Information Extraction from Document Images
902-MAIN,Steering Safely or Off a Cliff? Rethinking Specificity and Robustness in Inference-Time Interventions
1237-FIND,Task-aware Block Pruning with Output Distribution Signals for Large Language Models
1277-FIND,DAMASHA: Detecting AI in Mixed Adversarial Texts via Segmentation with Human-interpretable Attribution
1348-FIND,PsyProbe: Proactive and Interpretable Dialogue through User State Modeling for Exploratory Counseling
1387-FIND,Vietnamese Automatic Speech Recognition: A Revisit
918-MAIN,"Funny or Persuasive, but Not Both: Evaluating Fine-Grained Multi-Concept Control in LLMs"
3233-CL,LLMs and Cultural Values: The Impact of Prompt Language and Explicit Cultural Framing
73-MAIN,Do Political Opinions Transfer Between Western Languages? An Analysis of Unaligned and Aligned Multilingual LLMs
986-MAIN,LLMs as Cultural Archives: Cultural Commonsense Knowledge Graph Extraction
1052-MAIN,Elections go bananas: a first large-scale multilingual study of pluralia tantum using LLMs
155-MAIN,Persona Prompting as a Lens on LLM Social Reasoning
540-MAIN,Polyglots or Multitudes? Multilingual LLM Answers to Value-laden Multiple-Choice Questions
1046-MAIN,The Pluralistic Moral Gap: Understanding Moral Judgment and Value Differences between Humans and Large Language Models
1083-MAIN,Continual Neural Topic Model
38-IND,SymPyBench: A Dynamic Benchmark for Scientific Reasoning with Executable Python Code
343-FIND,Pushing the Frontiers of Scientific Fact-Checking: The SCINLP Dataset
1096-MAIN,CHiRPE: A Step Towards Real-World Clinical NLP with Clinician-Oriented Model Explanations
92-IND,OCR or Not? Rethinking Document Information Extraction in the MLLMs Era with Real-World Large-Scale Datasets
106-IND,"MedRiskEval: Medical Risk Evaluation Benchmark of Language Models, On the Importance of User Perspectives in Healthcare Settings"
366-FIND,RB-LoRA: Rank-Balanced Aggregation for Low-Rank Adaptation with Federated Fine-Tuning
1161-MAIN,DivMerge: A divergence-based model merging method for multi-tasking
64-FIND,Position Paper: How Should We Responsibly Adopt LLMs in the Peer Review Process?
133-FIND,Persona-driven Simulation of Voting Behavior in the European Parliament with Large Language Models
165-FIND,Complexity-aware fine-tuning
113-IND,LingVarBench: Benchmarking LLMs on Entity Recognitions and Linguistic Verbalization Patterns in Phone-Call Transcripts
128-IND,IndicJR: A Judge-Free Benchmark of Jailbreak Robustness in South Asian Languages
167-IND,ARQA: A Benchmark for Grounded Table–Text QA in Enterprise Annual Reports
381-FIND,Breaking the Illusion of Reasoning in Polish LLMs: Quality over Quantity of Thought
122-MAIN,IYKYK: Using language models to decode extremist cryptolects
325-MAIN,Too Open for Opinion? Embracing Open-Endedness in Large Language Models for Social Simulation
183-FIND,$K$ETCHUP: $K$-Step Return Estimation for Sequential Knowledge Distillation
286-FIND,Suppressing Final Layer Hidden State Jumps in Transformer Pretraining
344-FIND,SCAN: Semantic Document Layout Analysis for Textual and Visual Retrieval-Augmented Generation
421-MAIN,From Emotion to Expression: Theoretical Foundations and Resources for Fear Speech
797-MAIN,"NLP for Social Good: A Survey and Outlook of Challenges, Opportunities and Responsible Deployment"
354-FIND,Beyond Accuracy: Alignment and Error Detection across Languages in the Bi-GSM8K Math-Teaching Benchmark
364-FIND,"See More, Store Less: Memory-Efficient Resolution for Video Moment Retrieval"
437-FIND,Which Works Best for Vietnamese? A Practical Study of Information Retrieval Methods across Domains
1203-MAIN,Multimodal Conversation Structure Understanding
438-FIND,MemeWeaver: Inter-Meme Graph Reasoning for Sexism and Misogyny Detection
442-FIND,SEAM: Bridging the Temporal-Semantic Granularity Gap for LLM-based Speech Recognition
513-MAIN,MALicious INTent Dataset and Inoculating LLMs for Enhanced Disinformation Detection
412-FIND,Modeling Turn-Taking with Semantically Informed Gestures
463-FIND,FOL-Traces: Verified First-Order Logic Reasoning Traces at Scale
560-MAIN,Is This LLM Library Learning? Evaluation Must Account For Compute and Behaviour
1122-MAIN,AICD Bench: A Challenging Benchmark for AI-Generated Code Detection
483-FIND,Can Calibration of Positional Encodings Enhance RAG Performance?
1305-MAIN,Becoming Experienced Judges: Selective Test-Time Learning for Evaluators
450-FIND,"Foundations of LLM Knowledge Materialization: Termination, Reproducibility, Robustness"
515-FIND,Testing Low-Resource Language Support in LLMs Using Language Proficiency Exams: the Case of Luxembourgish
1350-MAIN,ReFACT: A Benchmark for Scientific Confabulation Detection with Positional Error Annotations
239-MAIN,Contrastive Learning with Narrative Twins for Modeling Story Salience
590-MAIN,NarraBench: A Comprehensive Framework for Narrative Benchmarking
523-FIND,MathMist: A Parallel Multilingual Benchmark Dataset for Mathematical Problem Solving and Reasoning
548-FIND,Seeing All Sides: Multi-Perspective In-Context Learning for Subjective NLP
696-MAIN,BeDiscovER: The Benchmark of Discourse Understanding in the Era of Reasoning Language Models
940-MAIN,"Mary, the Cheeseburger-Eating Vegetarian: Do LLMs Recognize Incoherence in Narratives?"
943-MAIN,Analysing the role of lexical and temporal information in turn-taking through predictability
88-MAIN,The Dog the Cat Chased Stumped the Model: Measuring When Language Models Abandon Structure for Shortcuts
177-MAIN,Lexical Popularity: Quantifying the Impact of Pre-training for LLM Performance
556-FIND,Beyond Divergent Creativity: A Human-Based Evaluation of Creativity in Large Language Models
592-FIND,Better as Generators Than Classifiers: Leveraging LLMs and Synthetic Data for Low-Resource Multilingual Classification
216-MAIN,iBERT: Interpretable Style Embeddings via Sense Decomposition
605-FIND,Improving Chain-of-Thought for Logical Reasoning via Attention-Aware Intervention
559-FIND,Are Multimodal LLMs Movie Buffs?
563-MAIN,A Unified View on Emotion Representation in Large Language Models
619-FIND,Multi-Agent Procedural Graph Extraction with Structural and Logical Refinement
1051-MAIN,Explaining Generalization of AI-Generated Text Detectors Through Linguistic Analysis
8207-TACL,Fine-Grained Reward Optimization for Machine Translation using Error Severity Mappings
670-FIND,Reasoning about Uncertainty: Do Reasoning Models Know When They Don't Know?
38-MAIN,Early-Exit and Instant Confidence Translation Quality Estimation
576-FIND,Do GUI Grounders Truly Understand UI Elements?
169-MAIN,Progressive Visual Refinement for Multi-modal Summarization
662-FIND,DRIVINGVQA: A Dataset for Interleaved Visual Chain-of-Thought in Real-World Driving Scenarios
171-MAIN,Adaptive LLM-Symbolic Reasoning via Dynamic Logical Solver Composition
184-MAIN,Training in Step-by-Step Formal Reasoning Improves Pronominal Reasoning in Language Models
284-MAIN,Hacking Neural Evaluation Metrics with a Single Text
669-FIND,DashboardQA: Benchmarking Multimodal Agents for Question Answering on Interactive Dashboards
322-MAIN,PaperSearchQA: Learning to Search and Reason over Scientific Papers with RLVR
768-FIND,VIGiA: Instructional Video Guidance via Dialogue Reasoning and Retrieval
350-MAIN,Korean Canonical Legal Benchmark: Toward Knowledge-Independent Evaluation of LLMs' Legal Reasoning Capabilities
430-MAIN,Beyond вЂњNot Novel EnoughвЂќ: Enriching Scholarly Critique with LLM-Assisted Feedback
858-FIND,RiddleBench: A New Generative Reasoning Benchmark for LLMs
475-MAIN,Mind Your Special Tokens! On the Importance of Dedicated Sequence-End Tokens in Vision-Language Embedding Models
699-FIND,Unlocking Large Audio-Language Models for Interactive Language Learning
875-FIND,MATH-IDN: A Multilingual Mathematical Problem Solving Dataset Featuring Local Languages in Indonesia
887-FIND,Parameter-Efficient Routed Fine-Tuning: Mixture-of-Experts Demands Mixture of Adaptation Modules
962-FIND,We Are What We Repeatedly Do: Improving Long Context Instruction Following
496-MAIN,Decoding the Market's Pulse: Context-Enriched Agentic Retrieval Augmented Generation for Predicting Post-Earnings Price Shocks
985-FIND,Position Encoding with Random Float Sampling Enhances Length Generalization of Transformers
1002-FIND,Cards Against Contamination: TCG-Bench for Difficulty-Scalable Multilingual LLM Reasoning
1022-FIND,FLUKE: A Linguistically-Driven and Task-Agnostic Framework for Robustness Evaluation
1120-FIND,Do LLMs model human linguistic variation? A case study in Hindi-English do-verb code-mixing
1121-FIND,ART: Attention-Regularized Transformers for Multi-Modal Robustness
547-MAIN,When Flores Bloomz Wrong: An Analysis of Cross-Lingual Contamination in Machine Translation Evaluation
1129-FIND,RoD-TAL: A Benchmark for Answering Questions in Romanian Driving License Exams
549-MAIN,Decision-Making with Deliberation: Meta-reviewing as a Document-grounded Dialogue
573-MAIN,x-SAL: Leading Symbolic Reasoning across Languages via Cross-lingual Symbolic-Aided Language Model
1149-FIND,RADAR: A Reasoning-Guided Attribution Framework for Explainable Visual Data Analysis
736-FIND,The Problem of Ambiguity in Table Question Answering
612-MAIN,SoS: Analysis of Surface over Semantics in Multilingual Text-To-Image Generation
632-MAIN,Exploring Generative Process Reward Modeling for Semi-Structured Data: A Case Study of Table Question Answering
1173-FIND,Neural network embeddings recover value dimensions from psychometric survey items on par with human data
831-MAIN,Bridging Attribution and Open-Set Detection using Graph-Augmented Instance Learning in Synthetic Speech
856-MAIN,Lost in Formatting: How Output Formats Skew LLM Performance on Information Extraction
1257-FIND,Risk Assessment of Power Outages as Rare Events with Learning Models and LLMs
867-MAIN,RotBench: Evaluating Multi-modal Large Language Models on Identifying Image Rotation
1365-FIND,Improving Decoder-only Language Models for Sequence Labeling through Sequence Repetition
881-MAIN,Beyond Names: How Grammatical Gender Markers Bias LLM-based Educational Recommendations
896-MAIN,On the Additive Compositionality of Task Vectors in VisionвЂ“Language Models
452-MAIN,Communication Enables Cooperation in LLM Agents: A Comparison with Curriculum-Based Approaches
980-MAIN,Language-Grounded Multi-Domain Image Translation via Semantic Difference Guidance
1099-MAIN,"Aligning Text, Code, and Vision: A Multi-Objective Reinforcement Learning Framework for Text-to-Visualization"
1126-MAIN,Hype or not? Formalizing Automatic Promotional Language Detection in Biomedical Research
1157-MAIN,SCENEBench: An Audio Understanding Benchmark Grounded in Assistive and Industrial Use Cases
1220-MAIN,Diagnosing Vision Language Models' Perception by Leveraging Human Methods for Color Vision Deficiencies
1263-MAIN,"``Yuki Gets Sushi, David Gets Steak?'': Uncovering Gender and Racial Biases in LLM-Based Meal Recommendations"
1266-MAIN,SCALAR: Scientific Citation-based Live Assessment of Long-context Academic Reasoning
1347-MAIN,"Do Psychometric Tests Work for Large Language Models? Evaluation of Tests on Sexism, Racism, and Morality"
1366-MAIN,TimeMachine-bench: A Benchmark on Evaluating Model's Capability on Repository-level Migration Tasks
1385-MAIN,CAIRE: Cultural Attribution of Images with Retrieval
62-FIND,Plane Geometry Problem Solving with Multi-modal Reasoning: A Survey
157-FIND,VisDoT : Enhancing Visual Reasoning through Human-Like Interpretation Grounding and Decomposition of Thought
